+ve	positive
-ve	negative
*fsh	starfish
*s*	smile
*vin	starving
101	beginner
121	one to one
143	I love you
1dering	wondering
1dr	wonder
1drfl	wonderful
1drful	wonderful
1fs	the finger
1ftr	one for the road
1ns	once
1st	first
1sth@	firsthand
1tl	one true love
2+	too add
2b1	to be won
2bacco	tabacco
2bctnd	to be continued
2c	to see
2day	today
2fs	the fingers
2g2	to go to
2g4u	too good for you
2geder	together
2gethr	together
2gtha	together
2hot4u	to hot for you
2ic	second in command
2l8	too late
2moro	tomorrow
2moz	tommorow
2nd	second
2nds	seconds
2nite	tonight
2nyt	tonite
2r	tour
2u	to you
2u2	to you too
2x	twice
404	lost
4e	forever
4eva	forever
4ever	for ever
4evr	forever
4f	for friends
4get	forget
4giv	forgive
4give	forgive
4got10	forgotten
4gv	forgive
4n	foreign
4pla	foreplay
4t	forty
4tnite	fortnight
4tun8	fortunate
4yeo	for your eyes only
4yi	for your information
6t	sixty
6ual	sexual
7t	seventy
8t	eighty
9t	ninety
:'-(	crying
<bg>	big grin
<bs>	big smile
<g>	grin
<s>	smile
<vbg>	very big grin
<vbs>	very big smile
<wg>	wicked grin
@ak	attack
@mosfer	atmosphere
@wrk	at work
[ ]	wanting to hug
\_/\_/	drinks for two
a/s	age/sex
a/s/l	age,sex and lonely
a/s/l?	age/sex/location?
a/s?	age/sex?
a3	a large paper size
aaa	screaming
aamof	as a matter of fact
abbr	abbreviation
abc	alphabet
abt2	about to
adctd2uv	addicted to love
adn	any day now
adr$	address
afaict	as far as I can tell
afair	as far as I remember
afrd	afraid
aise	as I said earlier
aisi	as I see it
aiui	as I understand it
aiw	as it were
aka	also known as
akcdnt	accident
al2gethr	altogether
alredi	already
alwys	always
amazn	amazing
ambw	all my best wishes
aml	all my love
an	about nothing
ani1	anyone
anoyn	anoying
ans	answer
aob	any other business
aprec8	apreciate
aqr8	accurate
asafp	as soon as possible!
asap	as soon as possible
asslp	asleep
ata2ud	attitude
atb	aged trial balance
atm	at the moment
att	about time too
attn	attention
avg	average
aw8	await
awcigo	and where can I get one?
ax$	access
ayt	are you there?
b%k	book
b%kd	booked
b3	the details are boring
b4	before
b4n	bye4now
b6ual	bisexual
b@r	batter
b@re	battery
ba6	basics
bab	baby
bak	back
balns	balance
bau	business as usual
bb4n	bye bye for now
bbiaf	be back in a few
bbiam	be back in a minute
bbn	bye bye now
bbq	barbecue
bbs	big, brave and strong
bcc	blind carbon copy
bcnu	be seeing you
bdn	big damn number
beg	devious and silly
beta	better
betr	better
bf	basic fact
bfd	big deal!
bfn	bye for now
bhl8	be home late
bibo	beer in, beer out
bif	basis in fact
bil	boss is listening
bin	been
bion	believe it or not
biz	business
bk	back
bl$	bless
bl@	bland
bnf	big name fan
bod	body
bol	burst out laughing
br	best regards
br&	brand
br@	brat
brez	breezy
bro	brother
bros	brothers
bs	big smile
btdt	been there done that
btiam	be there in a minute
btl	better than life
btt	bored to tears
bttp	back to the point
btw	between
buxm	buxom
bw/u	be with you
bwl	bursting with laughter
by	bye
bykt	but you knew that
bzar	bizarre
bzy	busy
c%dnt	could not
c%l	cool
c2it	see to it
cb	citizen band radio
cd	seedy
centr	center
cgu	can't get up
ch$	chess
chocl@	chocolate
chu	chew
chur	see how you are
ciao	goodbye
cico	coffee in, coffee out
cid	criminal investigation department
cio	chief information officer
cla$	class
clik	click
