2k0	2000
2k1	2001
2k4	2004
2k6	2006
2k7	2007
2k8	2008
2k9	2009
nwb	a new person
avsb	a very special boy
bout	about
bowt	about
awol	absent without leave
jumping the couch	acting strange
rodger	affirmative
roger	affirmative
roj	affirmative
n199312	african american
n1994	african american
ayb	All Your Base
aybab2m	all your base are belong 2 me
aybabtg	All Your Base Are Belong To Google
aybab2u	All your base are belong to us
aybabtu	all your base are belong to us
ayte	alright
i8	alright
ight	alright
iigh	alright
iight	alright
ite	alright
m	am
lollercaust	an extreme event of hilarity
n	and
nd	and
awsic	and why should i care
aypi	And Your Point Is
aypi	and your point is
flames	angry comments
flamer	angry poster
n e	any
ne	any
neday	any day
nedn	any day now
neida	any idea
nemore	Anymore
ne1	anyone
ny1	Anyone
nefing	anything
nethin	anything
nething	anything
neway	anyway
nywy	anyway
newais	Anyways
neways	anyways
newayz	anyways
newez	anyways
r	are
ru	are you
ruabog	are you a boy or girl
ruagoab	are you a girl or a boy
ayagob	are you a girl or boy
rua	are you alone
rubz2nt	are you busy tonight
ayd	are you done
aydy	are you done yet
ayfr	are you for real
ayfk	are you fucking kidding
ayfkm	are you fucking kidding me
rufkm	are you fucking kidding me
ayfs	Are You Fucking Serious
rugay	are you gay
rugta	are you going to answer
ruh	are you horny
ayk	are you kidding
aykm	are you kidding me
rukm	are you kidding me
ayl	are you listening
rumf	Are you male or female
aymf	are you my friend
ruk	are you ok?
ruok	are you ok?
ayok	are you okay
rur	are you ready
ays	are you serious
aysm	are you shitting me?
ayst	are you still there
ayt	are you there
rut	are you there
aytf	are you there fucker
ayty	are you there yet
ruwm	are you watching me
fankle	area between foot and ankle
rnt	aren't
sif	as if
sifn't	as if not
ayw	as you wish
azn	asian
 @$$	ass
azz	ass
 @$$ #013	ass hole
 @hole	asshole
 @h	asshole
azhol	asshole
@	at
ayec	at your earliest convenience
avie	Avatar
avtr	avatar
avvie	avatar
avy	Avatar
av7x	avenged sevenfold
ayc	awaiting your comments
awes	awesome
awsm	awesome
awsome	awesome
awk	awkward
bbz	babes
babi	baby
bbe	baby
bbi	Baby
bby	baby
bebe	baby
bilu	baby i love you
bak	back
bakk	back
bck	back
bk	back
bau	back at you
bhwu	back home with you
biab	back in a bit
biaf	Back In A Few
btfo	back the fuck off
b2w	Back to work
b2u	back to you
bty	back to you
bwpwap	back when Pluto was a planet
b/g	background
bg	background
bamf	bad ass mother fucker
bl	bad luck
b8	bait
balz	balls
b&	banned
b@	banned
bbp	Banned by parents
bnr	banner
bbbj	Bare Back Blow Job
bol	Barking Out Loud
bstrd	Bastard
bofh	bastard operator from hell
bsmfh	Bastard System Manager From Hell
br	bathroom
b82rez	Batteries
b8rez	Batteries
b3	be
bbfu	be back for you
bbiab	be back in a bit
bbiaf	be back in a few
bbifs	be back in a few seconds
bbialb	Be back in a little bit
bbilb	be back in a little bit
bbiam	be back in a minute
bbias	be back in a second
bbiaw	be back in a while
bbilfm	be back in like five minutes
bbim	Be Back In Minute
bbl	be back later
bbl8a	Be Back Later
bblig	Be back later...i guess
bbml	be back much later
bbn	be back never
bbol	be back online later
bbq	be back quick
bbsts	be back some time soon
bbs	be back soon
bbt	be back tomorrow
bbtn	be back tonite
bbvl	Be Back Very Later
bbwl	be back way later
bbw	be back whenever
bbwe	be back whenever
bmf	be my friend
bmvp	be my valentine please
bnol	be nice or leave
brb	be right back
brbf	Be Right Back Fucker
brbl	be right back later
brbmf	be right back mother fucker
brbs	be right back soon
brbts	be right back taking shit
brfb	be right fucking back
brh	be right here
brt	be right there
bcnu	be seeing you
bcnul8r	be seeing you later
bsxc	be sexy
bttyl	be talking to you later
btias	Be there in a second
bts	be there soon
burma	be undressed ready my angel
bytabm	beat you to a bloody mess
btsoom	Beats The Shit Out Of Me
btfl	beautiful
b-cuz	because
b/c	because
b/cos	because
bc	because
bcoz	Because
bcuz	because
becuse	because
becuz	because
cos	because
coz	because
cuz	because
cuzz	Because
bcurl8	Because you're late.
bn	been
btdt	been there done that
grog	beer
b4	before
be4	before
b4u	before you
bleve	believe
bion	Believe it or not.
bndm3ovr	Bend me over
boati	Bend Over And Take It
bohic	Bend over here it comes
bdfl	Benevolent Dictator For Life
bbf	best boy friend
bbfs	best boyfriends
bbwb	best buddy with boobs
bestie	best friend
bezzie	best friend
bffeae	Best Friend For Ever And Ever
b.f.f.	best friend forever
bff	best friend forever
bfitww	best friend in the whole world
bffaw	best friends for a while
bffa	best friends for always
bf4e	best friends for ever
bffene	Best Friends For Ever And Ever
bf4l	best friends for life
bffl	best friends for life
bffn	best friends for now
bf4eva	Best Friends forever
bffe	Best friends forever
bffaa	Best Friends Forever And Always
bffae	Best Friends Forever And Ever
bfftddup	best friends forever till death do us part
bma	best mates always
bm4l	best mates for life
bmfl	best mates for life
bmfe	best mates forever
bmttveot	best mates till the very end of time
bobw	Best of Both Worlds
brgds	best regards
betcha	bet you
bettr	better
btr	better
bka	better known as
blnt	Better Luck Next time
btcn	Better than Chuck Norris
b/t	between
b/w	between
btwn	between
bmay	between me and you
bm&y	between you and me
bab	Big ass Boobs
bigd	big deal
bfhd	big fat hairy deal
bfd	big fucking deal
bfg	big fucking gun
bft	big fucking tits
bmoc	Big Man On Campus
bpot	big pair of tits
bwoc	Big Woman On Campus
b-day	birthday
b'day	birthday
bd	birthday
bday	birthday
bsx	bisexual
biwm	bisexual white male
b/s/l	Bisexual/Straight/Lesbian
bt	bit torrent
13itch	bitch
81tc#	bitch
b1tch	Bitch
bch	bitch
beatch	bitch
beech	bitch
beeoch	bitch
beezy	BITCH
beotch	bitch
betch	Bitch
beyatch	Bitch
beyotch	bitch
biach	bitch
biatch	bitch
bich	Bitch
biotch	bitch
bish	Bitch
bizatch	Bitch
biznatch	bitch
biznitch	bitch
bizzle	BITCH
btch	bitch
bytch	bitch
bamofo	bitch ass mother fucker
bfh	bitch from hell
bstfu	bitch shut the fuck up
bm	Bite Me
bmha	bite my hairy ass
blk	black
blkm	Black Male
bbm	BlackBerry Messenger
bml	bless my life
blg	blog
bleme	blog meme
bh	bloody hell
bioya	blow it out your ass
bsomn	blowing stuff out my nose
byak	blowing you a kiss
bj	blowjob
blj	blowjob
bljb	Blowjob
blu	blue
bsod	blue screen of death
bo	body odour
bonr	boner
8008	boob
bewb	boob
8008135	boobies
80085	Boobs
bewbs	boobs
bewbz	boobs
b00t	boot
bewt	boot
bord	bored
brd	bored
blh	bored like hell
boomm	bored out of my mind
btd	bored to death
biw	boss is watching
bos	boss over shoulder
boffum	Both of them
bovered	bothered
btm	bottom
boxor	box
boi	boy
bf	boyfriend
bf+gf	boyfriend and girlfriend
bfs	Boyfriends
bf's	boyfriend's
brbbrb	br right back bath room break
bnib	Brand new in Box
buwu	breaking up with you
baf	bring a friend
byoc	bring our own computer
byob	Bring your own Beer
hoopty	broke down automobile
b0rked	broken
bb4h	bros before hoes
bro	brother
broseph	brother
brover	Brother
bruh	brother
bruhh	Brother
bruv	brother
bruva	brother
bfam	brother from another mother
bilf	brother i'd like to fuck
bros	brothers
bruz	brothers
bukket	bucket
bw3	Buffalo Wild Wings
bzns	buisness
b.s.	bullshit
bs	bullshit
bfe	Bum Fuck Egypt
bogsatt	bunch of guys sitting around the table
bubar	bushed up beyond all recognition
biz	Business
b2b	business to business
bizi	Busy
buszay	busy
bz	busy
bzy	busy
bzzy	busy
bicbw	but I could be wrong
botoh	but on the other hand
bwt	but when though
bykt	But you knew that
budzecks	butt sex
butsecks	butt sex
but6	buttsex
bogo	buy one get one
bogof	buy one get one free
byself	by myself
btb	by the by
btfw	by the fucking way
btw	by the way
btwilu	by the way i love you
btwitiailwu	by the way i think i am in love with you
bwim	by which i mean
bi	bye
bai	Bye
bii	bye
bubi	bye
bb	bye bye
bibi	bye bye
buhbi	Bye Bye
byes	bye bye
bbfn	Bye Bye for now
bibifn	bye bye for now
b4n	bye for now
bfn	bye for now
bb4n	Bye-bye for now
cm	call me
cmitm	Call me in the morning
cml	call me later
cml8r	call me later
cmliuw2	call me later if you want to
cmomc	call me on my cell
cmcp	call my cell phone
cmh	Call My House
cod	Call of Duty
cod4	call of duty 4
cod5	call of duty 5
ctc	call the cell
cybl	call you back later
curn	calling you right now
ctfd	calm the fuck down
c 2 c	cam to cam (webcams)
cam	camera
cn	can
cihswu	can i have sex with you
cubi	can you believe it
cw2cu	can`t wait to see you
c14n	canonicalization
cnt	can't
cba	can't be arsed
cbb	can't be bothered
cbf	cant be fucked
cbfed	can't be fucked
cbfa	can't be fucking arsed
cbi	can't believe it
cr	Can't remember
crs	can't remember shit
csl	can't stop laughing
c/t	can't talk
ct	can't talk
ctn	can't talk now
ctnbos	can't talk now boss over shoulder
ctncl	Can't talk now call later
ctpos	Can't Talk Parent Over Sholder
ctpc	cant talk parent(s) coming
ctrn	can't talk right now
cwtgypo	can't wait to get your panties off
cptn	captain
ctf	capture the flag
cfas	care for a secret?
c4ashg	care for a shag
c2c	care to chat?
c@	cat
cuwul	catch up with you later
cylbd	catch ya later baby doll
celly	cell phone
cts	change the subject
ctt	change the topic
char	character
chr	character
ch@	chat
cwyl	chat with ya later
chk	check
cfid	check for identification
cotm	check out this myspace
peep dis	check out what I'm telling you
cylor	check your local orhtodox rabbi
cym	check your mail
cheezburger	cheeseburger
chik	chick
cilf	child i'd like to fuck
cp	child porn
chilax	chill and relax in one word
ctfo	chill the fuck out
xoac	Christ on a crutch
xmas	christmas
cvq	chucking very quietly
ctm	chuckle to myself
cancer stick	cigarette
cig	cigarette
cowboy choker	cigarette
zig	cigarette
cigs	cigarettes
ccna	Cisco Certified Network Associate
cless	clanless
cob	close of business
cye	Close Your Eyes
404	Clueless
cluebie	clueless newbie
yayo	cocaine
cawk	Cock
cskr	cock sucker
cd9	Code 9 (other people nearby)
c|n>k	coffee through nose into keyboard
cwmaos	coffee with milk and one sugar
crunk	combination of crazy and drunk
cmbo	combo
cb	come back
cfm	come fuck me
chswm	come have sex with me
chswmrn	come have sex with me right now
c'mon	Come On
cmon	Come on
coiwta	come on i wont tell anyone
c2	come to
cwm	come with me
comin'	coming
c&c	Command and Conquer
cnc	Command and Conquer
cmt	comment
comnt	comment
c/b	comment back
cmb	comment me back
cmplte	complete
catwot	complete and total waste of time
cwot	complete waste of time
cmplcdd	complicated
comp	Computer
compy	computer
pooter	Computer
puter	Computer
cis	computer information science
cg	Congratulations
congrats	congratulations
grats	congratulations
gratz	congratulations
cid	consider it done
cms	content management system
contrib	contribution
contribs	contributions
ctrl	control
convo	conversation
coo	cool
k3wl	cool
kewel	cool
kewl	cool
kl	cool
koo	cool
kool	cool
kuhl	cool
kul	cool
kuwl	cool
kwl	cool
ql	cool
qool	cool
qoolz	cool
clm	Cool Like Me
clt	Cool Like That
5-oh	cop
6up	cops in area
cpy	copy
hiybbprqag	copying somebody else's search results
copyvio	copyright violation
cmiiw	correct me if I'm wrong
cpm	cost per 1000 impressions
cood	could
cud	could
culd	Could
ccl	Couldn't Care Less
cgad	couldn't give a damn
cgaf	couldn't give a fuck
cs	Counter-Strike
cs:s	Counter-Strike: Source
cuple	couple
cma	Cover My Ass
c.y.a	cover your ass
ctfu	cracking the fuck up
crp	crap
cr8	crate
crzy	crazy
crazn	crazy asian
cre8or	creator
xing	crossing
xover	crossover
xroads	crossroads
cmar	cry me a river
qq	crying eyes
cmao	Crying My Ass Off
cmeo	crying my eyes out
cof	Crying on the floor
cotf	crying on the floor
col	crying out loud
crm	customer relationship management
c2tc	cut to the chase
cut3	cute
kute	cute
cgf	cute guy friend
ciwwaf	cute is what we aim for
qt	cutie
qte	cutie
qt3.14	cutie pie
qtpi	cutie pie
cmw	cutting my wrists
cyb	cyber
cybr	cyber
cpl	Cyber Athlete Professional League
cybseckz	cyber sex
dilf	dad i'd like to fuck
dayum	damn
dayumm	damn
dmn	damn
dtl	damn the luck
dyac	damn you auto correct
du2h	damn you to hell
dy2h	damn you to hell
dyth	Damn You To Hell
ddr	dance dance revolution
dnimb	dancing naked in my bra
dotc	dancing on the ceiling
db	database
d8	date
dob	date of birth
dil	Daughter in law
daii	day
dod	Day of Defeat
doa	dead on arrival
d2m	dead to me
dwi	deal with it
dwioyot	Deal With It On Your Own Time
dm	deathmatch
dsided	decided
defs	definetly
def	definitely
dhv	Demonstration of Higher Value
don	denial of normal
dos	denial of service
doypov	depends on your point of view
dprsd	depressed
dit	Details in Thread
d2	Diablo 2
d1ck	dick
dih	dick in hand
dh	dickhead
dikhed	dickhead
dctnry	dictionary
dnrta	did not read the article
dnrtfa	did not read the fucking article
dju	did you
dugt	did you get that?
dygtp	did you get the picture
duk	did you know
dyk	did you know
din	didn't
din't	didn't
diacf	die in a car fire
diaf	die in a fire
diah	die in a hole
dirl	Die in real life
diez	dies
diff	difference
ddl	direct download
d/c	disconnected
dc'd	disconnected
dp	display picture
ddos	Distributed Denial of Service
d&c	divide and conquer
dafs	do a fucking search
dic	do i care
diku	do i know you
diky	Do I know you
dillic	Do I look like I care
dillifc	do I look like I fucking care
dilligad	do I look like I give a damn
dilligaf	do I look like I give a fuck
dilligas	do i look like i give a shit
diy	do it yourself
dmaf	do me a favor
dnd	Do Not Disturb
dndp	Do not double post
dnw	Do not want
dtrt	do the right thing
dya	Do you
dycotfc	do you cyber on the first chat
dugi	do you get it?
dynm	do you know me
dylh	do you like him
dulm	do you like me
dylos	do you like oral sex
dylm	do you love me
dym	Do you mind
dynk	do you not know
ducy	do you see why
dyw2gwm	do you want to go with me
dywtmusw	do you want to meet up some where
dhly	does he like you
d/m	Doesn't Matter
doin	doing
doin'	doing
dcw	Doing Class Work
dnt	don't
dont	don't
dun	don't
damhik	don't ask me how I know
damhikijk	Don't Ask Me How I Know -  I Just Know
damhikt	don't ask me how I know this
dadt	Don't ask. Don't tell.
dbab	don't be a bitch
dbafwtt	Don't Be A Fool Wrap The Tool
dbg	don't be gay
dbh	don't be hating
dbi	Don't Beg It
dbeyr	don't believe everything you read
dbm	don't bother me
dc	don't care
dd	don't die
degmt	Don't Even Give Me That
detai	don't even think about it
dftba	don't forget to be awesome
dfu	don't fuck up
dfw/m	Don't Fuck with Me
dfwm	Don't Fuck with Me
dfc	DON'T FUCKING CARE
dfwmt	Don't fucking waste my time
dgms	Don't get me started
dgypiab	don't get your panties in a bunch
dgac	don't give a crap
dgaf	don't give a fuck
