a4ded	afforded
a4din	affording
abhorrd	abhorred
abhorrin	abhorring
abidin	abiding
abolishd	abolished
abolishin	abolishing
abortd	aborted
abortin	aborting
aboundin	abounding
abridgd	abridged
abridgin	abridging
abrog8d	abrogated
abrogatin	abrogating
abscondin	absconding
abseild	abseiled
abseilin	abseiling
absentd	absented
absentin	absenting
absolvd	absolved
absolvin	absolving
absorbd	absorbed
absorbin	absorbing
abstaind	abstained
abstainin	abstaining
abstractd	abstracted
abstractin	abstracting
abt	about
abt2	about to
abusd	abused
abusin	abusing
abuttd	abutted
abuttin	abutting
abv8	abbreviate
accmmd8d	accommodated
accmmdatin	accommodating
accmpnyd	accompanied
accmpnyin	accompanying
accomplishd	accomplished
accomplishin	accomplishing
accountd	accounted
accountin	accounting
accountin	accounting
accreditd	accredited
accreditin	accrediting
accrud	accrued
accruin	accruing
accusd	accused
accusin	accusing
accustomd	accustomed
accustomin	accustoming
achievd	achieved
achievin	achieving
achin	aching
achvmnt	achievement
achvmnts	achievements
acidifyd	acidified
acidifying	acidifying
acknwldgmnt	acknowledgement
acquantd	acquainted
acquantin	acquainting
acrs	across
actd	acted
actin	acting
activ8	activate
activ8d	activated
activ8in	activating
actvty	activity
acut8d	actuated
acut8in	actuating
adaptd	adapted
adaptin	adapting
addr	address
adducd	adduced
adducin	adducing
adhrd	adhered
adhrin	adhering
adin	adding
adjoind	adjoined
adjoinin	adjoining
adjornd	adjourned
adjornin	adjourning
adjstd	adjusted
adjstin	adjusting
adjudc8d	adjudicated
adjudcatin	adjudicating
adlin	addling
adminstrd	administered
adminstrin	administering
admrd	admired
admrin	admiring
admttd	admitted
admttin	admitting
adoptd	adopted
adoptin	adopting
adord	adored
adorin	adoring
adornd	adorned
adornin	adorning
adrssd	addressed
adrssin	addressing
advancd	advanced
advancin	advancing
advisd	advised
advisin	advising
advoc8d	advocated
advoctin	advocating
advrtsd	advertised
advrtsin	advertising
afectin	affecting
affectd	affected
afiliatin	affiliating
afilit8d	affiliated
afirmd	affirmed
afirmin	affirming
afixd	affixed
afixin	affixing
aflictd	afflicted
aflictin	afflicting
aftr	after
agen	again
agin	ageing
agit8d	agitated
agitatin	agitating
agonisd	agonised
agonisin	agonising
agonizd	agonized
agonizin	agonizing
agrav8d	aggravated
agravatin	aggravating
agreein	agreeing
agreg8d	aggregated
agregatin	aggregating
agrid	agreed
aidin	aiding
ailin	ailing
aimd	aimed
aimin	aiming
aird	aired
airin	airing
airliftd	airlifted
airliftin	airlifting
aislin	aisling
aklimatised	acclimatised
aklimatisin	acclimatising
aklimatized	acclimatized
aklimatizin	acclimatizing
aknwldgd	acknowledged
aknwldgin	acknowledging
akordin	according
akostd	accosted
akostin	accosting
akumul8d	accumulated
akumulatin	accumulating
al	all
alarmd	alarmed
alertd	alerted
alghtin	alighting
alien8d	alienated
alienatin	alienating
alig8r	alligator
alightd	alighted
alignd	aligned
alignin	aligning
allayd	allayed
allayin	allaying
allegd	alleged
allegin	alleging
alloc8d	allocated
alloctin	allocating
allotd	allotted
allotin	allotting
allowd	allowed
alloyd	alloyed
allw	allow
allwed	allowed
allwing	allowing
almst	almost
alot	a lot
